Instance,XTRA,XOPQ,YOPQ,RXAD,WGHT-e
Standard Light Big,520.1,91.9,84.9,40,100
Standard Medium Big,650.5,283.3,196,40,400
Standard Bold Big,735.6,468.7,325.7,40,700
Standard Black Big,804.4,622.7,396.6,40,900
Standard Light Small,520.1,91.9,84.9,80,100
Standard Medium Small,650.5,283.3,196,80,400
Standard Bold Small,735.6,468.7,325.7,80,700
Standard Black Small,804.4,622.7,396.6,80,900
